com.teeworlds.Teeworlds, debug_link, unknown
com.github.ztefn.haguichi, manifest_serialization
com.github.jpakkane.glyphtracer, debug_link, pyc, manifest_serialization
com.github.dariasteam.cowsrevenge, pip_path, pyc, sysconfig, unknown
de.syping.gta5view, uncontrolled_timestamps, random_ro, debug_link
org.gnome.Tau, manifest_serialization
com.meetfranz.Franz, manifest_serialization
dev.geopjr.Collision, debug_link, string_ordering
com.github.Rosalie241.RMG, build_failed
com.github.needleandthread.vocal, manifest_serialization
com.polyphone_soundfonts.polyphone, build_failed
org.gnome.Keysign, hardware_dependant, pyc, debug_link
de.unifreiburg.ellipticcurve, random_ro, manifest_serialization, debug_link, archive_timestamp
com.github.liferooter.textpieces, manifest_serialization
com.georgefb.quickaccess, random_ro, debug_link
com.gitlab.cutecom.cutecom, random_ro, manifest_serialization, debug_link
org.gnome.gitlab.somas.Apostrophe, unbounded_module_deps
com.github.buddhi1980.mandelbulber2, random_ro
org.gnome.design.Typography, reproducible
de.uni_heidelberg.zah.GaiaSky, reproducible
com.belmoussaoui.ReadItLater, icon_cache
ca.parallel_launcher.ParallelLauncher, random_ro, debug_link, appdata
com.cassidyjames.plausible, icon_cache
com.gitlab.JakobDev.jdMinecraftLauncher, pyc
app.resp.RESP, build_failed
org.gnome.seahorse.Application, timestamp, debug_link
com.rtosta.zapzap, debug_link
com.github.childishgiant.mixer, appdata, icon_cache
app.xemu.xemu, uncontrolled_timestamps, debug_link
com.github.xournalpp.xournalpp, uncontrolled_timestamps, debug_link
de.schmidhuberj.DieBahn, debug_link, path
com.github.hopsan.Hopsan, random_ro, timestamp, unknown, manifest_serialization
com.tencent.wemeet, appdata
com.gitlab.JakobDev.jdTextEdit, pyc, unknown
ca.littlesvr.asunder, uncontrolled_timestamps, debug_link, path
com.parsecgaming.parsec, manifest_serialization
com.github.babluboy.bookworm, timestamp, debug_link, sysconfig, pip_path
com.anydesk.Anydesk, path, debug_link, string_ordering
org.gnome.font-viewer, uncontrolled_timestamps
com.sleepfiles.OSCAR, uncontrolled_timestamps, random_ro, debug_link
com.doycho.euterpe.gtk, debug_link, pyc
com.snes9x.Snes9x, archive_host_name
com.georgefb.mangareader,  random_ro, debug_link
ca.desrt.dconf-editor, manifest_serialization
com.github.elth0r0.iqpuzzle, random_ro
com.github.calo001.fondo, appdata, icon_cache
com.pypyrev.linuxdcpp, path, string_ordering, unknown
com.github.rssguard, uncontrolled_timestamps, random_ro, debug_link
com.jonathankang.Weibird, timestamp, sysconfig, pip_path
com.endlessnetwork.whitehouse, manifest_serialization
com.transmissionbt.Transmission, kernel_version, debug_link
com.github.dail8859.NotepadNext, timestamp, random_ro
com.moonlight_stream.Moonlight, random_ro, debug_link
com.diy_fever.DIYLayoutCreator, png_timestamp
app.ytmdesktop.ytmdesktop, asar_checksum
com.scoutshonour.dtipbijays, uncontrolled_timestamps, debug_link, sysconfig, pip_path, manifest_serialization
com.github.gmg137.netease-cloud-music-gtk, manifest_serialization
at.priv.toastfreeware.ConfClerk, random_ro, debug_link, manifest_serialization
com.github.ilai_deutel.kibi, manifest_serialization
com.github.robertsanseries.ciano, hardware_dependant, manifest_serialization
com.kavilgroup.gestimator, debug_link
org.gnome.Lollypop, debug_link, pyc
com.github.gi_lom.dialect, pip_path, pyc
org.gnome.Connections, timestamp, debug_link
com.github.gyunaev.spivak, timestamp, random_ro, debug_link
com.borgbase.Vorta, debug_link, pyc, pip_path
com.notepadqq.Notepadqq, uncontrolled_timestamps, debug_link, random_ro, sysconfig, pip_path, manifest_serialization, unknown
com.giadamusic.Giada, timestamp, debug_link
com.basemark.BasemarkGPU, manifest_serialization
com.github.rajsolai.textsnatcher, debug_link, unknown
com.github.debauchee.barrier, random_ro, debug_link, timestamp
org.gnome.World.Secrets, debug_link, unknown
com.github.alexr4535.siglo, manifest_serialization, pip_path, pyc
com.mattermost.Desktop, reproducible
org.gnome.Quadrapassel, build_failed
com.github.Bleuzen.FFaudioConverter, build_failed
org.gnome.eog, uncontrolled_timestamps
com.bladecoder.adventure-editor, manifest_serialization
com.github.artemanufrij.playmymusic, manifest_serialization
com.adrienplazas.Metronome, manifest_serialization
com.github.matfantinel.moneta, appdata, icon_cache
com.nitrokey.nitrokey-app, random_ro, debug_link
com.github._4lex4.ScanTailor-Advanced, random_ro, debug_link
com.github.coslyk.MoonPlayer, random_ro, debug_link
co.headsetapp.headset, reproducible
com.github.Murmele.Gittyup, timestamp, random_ro, debug_link
com.github.reds.LogisimEvolution, manifest_serialization
com.google.AndroidStudio, reproducible
com.gitlab.coringao.cavestory-nx, manifest_serialization
com.corsixth.corsixth, manifest_serialization
com.github.jms55.Sandbox, debug_link, unknown
com.github.artemanufrij.regextester, icon_cache
com.github.corna.Vivado, uncontrolled_timestamps, debug_link, pyc
com.gitlab.azymohliad.Qwertone, manifest_serialization
com.dosbox.DOSBox, manifest_serialization
com.github.ryanakca.slingshot, timestamp, debug_link, sysconfig, pip_path
com.microsoft.Teams, appdata
com.eduke32.EDuke32, png_timestamp
app.lith.Lith, random_ro
com.github.paolostivanin.OTPClient, reproducible
dk.tangramgames.mrrescue, archive_timestamp, archive_ordering, manifest_serialization
org.gnome.BreakTimer, manifest_serialization
com.github.hugolabe.Wike, pip_path, pyc
com.github.kmwallio.thiefmd, debug_link, pyc, timestamp
